...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
41,S90831933,Canada Goose,Branta canadensis,2021-06-26,14:26:00,8,71,US-OK,36.2081998,-96.0600758,48,6,2021
42,S103266888,Canada Goose,Branta canadensis,2022-02-20,14:05:00,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
43,S41909811,Canada Goose,Branta canadensis,2018-01-14,14:01:00,1,100,US-MO,38.70534,-90.74048,227,1,2018
44,S56366335,Canada Goose,Branta canadensis,2019-05-16,15:09:00,1,80,US-MO,38.70534,-90.74048,46,5,2019
45,S20964481,Canada Goose,Branta canadensis,2014-12-20,09:30:00,45,150,US-MO,38.8719313,-90.1843917,469,12,2014
46,S40744474,Canada Goose,Branta canadensis,2017-11-26,08:49:00,72,24,US-MO,38.8719313,-90.1843917,223,11,2017
47,S36840484,Canada Goose,Branta canadensis,2017-05-13,08:08:00,2,25,US-MO,38.7055395,-90.7048416,44,5,2017
48,S36840463,Canada Goose,Branta canadensis,2017-05-13,05:30:00,3,90,US-MO,38.661,-90.758,79,5,2017
49,S43354053,Canada Goose,Branta canadensis,2018-03-03,17:34:00,44,42,US-MO,38.6228053,-90.344224,72,3,2018
50,S17855769,Canada Goose,Branta canadensis,2014-04-12,08:45:00,2,120,US-MO,38.690995,-90.2349186,200,4,2014
51,S21025538,Canada Goose,Branta canadensis,2014-12-25,10:30:00,8,120,US-MO,38.690995,-90.2349186,138,12,2014
52,S16771971,Canada Goose,Branta canadensis,2014-02-02,16:00:00,178,30,US-MO,38.5615895,-90.2653885,193,2,2014
53,S16536879,Canada Goose,Branta canadensis,2014-01-27,14:30:00,70,45,US-MO,38.6389068,-90.2853806,275,1,2014
54,S17223714,Canada Goose,Branta canadensis,2014-02-27,08:40:00,56,45,US-MO,38.6389068,-90.2853806,237,2,2014
55,S17294044,Canada Goose,Branta canadensis,2014-03-04,08:15:00,30,45,US-MO,38.6389068,-90.2853806,92,3,2014
56,S17334391,Canada Goose,Branta canadensis,2014-03-06,08:20:00,8,55,US-MO,38.6389068,-90.2853806,214,3,2014
57,S17345055,Canada Goose,Branta canadensis,2014-03-07,08:20:00,38,55,US-MO,38.6389068,-90.2853806,276,3,2014
58,S17377851,Canada Goose,Branta canadensis,2014-03-09,15:45:00,40,80,US-MO,38.6389068,-90.2853806,118,3,2014
59,S17410868,Canada Goose,Branta canadensis,2014-03-12,08:20:00,24,45,US-MO,38.6389068,-90.2853806,257,3,2014
60,S17437862,Canada Goose,Branta canadensis,2014-03-14,08:00:00,12,60,US-MO,38.6389068,-90.2853806,181,3,2014
61,S17543272,Canada Goose,Branta canadensis,2014-03-20,09:20:00,7,80,US-MO,38.6389068,-90.2853806,102,3,2014
62,S17701725,Canada Goose,Branta canadensis,2014-04-01,18:30:00,8,25,US-MO,38.6389068,-90.2853806,35,4,2014
63,S17716042,Canada Goose,Branta canadensis,2014-04-02,16:00:00,2,40,US-MO,38.6389068,-90.2853806,134,4,2014
64,S17760108,Canada Goose,Branta canadensis,2014-04-05,18:00:00,4,30,US-MO,38.6389068,-90.2853806,145,4,2014
65,S17798169,Canada Goose,Branta canadensis,2014-04-07,18:00:00,4,45,US-MO,38.6389068,-90.2853806,96,4,2014
66,S17841108,Canada Goose,Branta canadensis,2014-04-11,09:30:00,4,60,US-MO,38.6389068,-90.2853806,103,4,2014
67,S17891506,Canada Goose,Branta canadensis,2014-04-14,09:00:00,6,90,US-MO,38.6389068,-90.2853806,203,4,2014
68,S17931688,Canada Goose,Branta canadensis,2014-04-17,08:00:00,12,120,US-MO,38.6389068,-90.2853806,307,4,2014
69,S17944532,Canada Goose,Branta canadensis,2014-04-18,08:45:00,2,10,US-MO,38.6389068,-90.2853806,45,4,2014
70,S18044118,Canada Goose,Branta canadensis,2014-04-23,12:00:00,8,45,US-MO,38.6389068,-90.2853806,62,4,2014
71,S18178852,Canada Goose,Branta canadensis,2014-05-02,08:15:00,5,60,US-MO,38.6389068,-90.2853806,115,5,2014
72,S18284435,Canada Goose,Branta canadensis,2014-05-08,08:20:00,5,90,US-MO,38.6389068,-90.2853806,130,5,2014
73,S18310479,Canada Goose,Branta canadensis,2014-05-09,18:00:00,4,60,US-MO,38.6389068,-90.2853806,87,5,2014
74,S18346956,Canada Goose,Branta canadensis,2014-05-11,18:30:00,6,60,US-MO,38.6389068,-90.2853806,121,5,2014
75,S20974801,Canada Goose,Branta canadensis,2014-12-21,09:15:00,20,165,US-MO,38.6389068,-90.2853806,157,12,2014
76,S20987277,Canada Goose,Branta canadensis,2014-12-22,09:30:00,6,60,US-MO,38.6389068,-90.2853806,177,12,2014
77,S21095947,Canada Goose,Branta canadensis,2014-12-31,08:00:00,134,120,US-MO,38.6389068,-90.2853806,322,12,2014
78,S21145290,Canada Goose,Branta canadensis,2015-01-02,09:00:00,91,5,US-MO,38.6389068,-90.2853806,119,1,2015
79,S21322331,Canada Goose,Branta canadensis,2015-01-12,09:20:00,145,30,US-MO,38.6389068,-90.2853806,195,1,2015
80,S21350144,Canada Goose,Branta canadensis,2015-01-14,02:30:00,40,60,US-MO,38.6389068,-90.2853806,152,1,2015
81,S21419958,Canada Goose,Branta canadensis,2015-01-19,08:30:00,4,0,US-MO,38.6389068,-90.2853806,25,1,2015
82,S21499852,Canada Goose,Branta canadensis,2015-01-22,10:30:00,24,30,US-MO,38.6389068,-90.2853806,85,1,2015
83,S22257298,Canada Goose,Branta canadensis,2015-03-09,13:00:00,6,20,US-MO,38.6389068,-90.2853806,51,3,2015
84,S22360906,Canada Goose,Branta canadensis,2015-03-15,09:00:00,18,120,US-MO,38.6389068,-90.2853806,157,3,2015
85,S22387893,Canada Goose,Branta canadensis,2015-03-16,18:00:00,6,30,US-MO,38.6389068,-90.2853806,35,3,2015
86,S22729778,Canada Goose,Branta canadensis,2015-04-06,18:30:00,5,45,US-MO,38.6389068,-90.2853806,44,4,2015
87,S22776681,Canada Goose,Branta canadensis,2015-04-09,18:20:00,6,25,US-MO,38.6389068,-90.2853806,42,4,2015
88,S23140528,Canada Goose,Branta canadensis,2015-04-30,07:00:00,10,105,US-MO,38.6389068,-90.2853806,150,4,2015
89,S23471799,Canada Goose,Branta canadensis,2015-05-13,08:00:00,4,120,US-MO,38.6389068,-90.2853806,81,5,2015
90,S23465605,Canada Goose,Branta canadensis,2015-05-15,18:30:00,4,30,US-MO,38.6389068,-90.2853806,104,5,2015
91,S33616660,Canada Goose,Branta canadensis,2017-01-12,07:00:00,100,90,US-MO,38.6389068,-90.2853806,272,1,2017
92,S33780633,Canada Goose,Branta canadensis,2017-01-19,07:01:00,145,56,US-MO,38.6389068,-90.2853806,240,1,2017
93,S33809874,Canada Goose,Branta canadensis,2017-01-20,16:26:00,74,59,US-MO,38.6389068,-90.2853806,188,1,2017
94,S35533959,Canada Goose,Branta canadensis,2017-03-30,07:05:00,10,100,US-MO,38.6389068,-90.2853806,283,3,2017
95,S35594469,Canada Goose,Branta canadensis,2017-03-31,17:47:00,2,80,US-MO,38.6389068,-90.2853806,84,3,2017
96,S35698031,Canada Goose,Branta canadensis,2017-04-04,07:00:00,12,127,US-MO,38.6389068,-90.2853806,369,4,2017
97,S35811314,Canada Goose,Branta canadensis,2017-04-09,07:47:00,2,74,US-MO,38.6389068,-90.2853806,51,4,2017
98,S35918417,Canada Goose,Branta canadensis,2017-04-13,06:59:00,10,109,US-MO,38.6389068,-90.2853806,247,4,2017
99,S36118134,Canada Goose,Branta canadensis,2017-04-20,07:00:00,16,98,US-MO,38.6389068,-90.2853806,237,4,2017
100,S36198905,Canada Goose,Branta canadensis,2017-04-23,08:13:00,2,173,US-MO,38.6389068,-90.2853806,137,4,2017
101,S36305628,Canada Goose,Branta canadensis,2017-04-27,06:56:00,10,121,US-MO,38.6389068,-90.2853806,260,4,2017
102,S36310000,Canada Goose,Branta canadensis,2017-04-27,11:46:00,2,41,US-MO,38.6389068,-90.2853806,21,4,2017
103,S36497526,Canada Goose,Branta canadensis,2017-05-02,18:56:00,1,58,US-MO,38.6389068,-90.2853806,40,5,2017
104,S36840525,Canada Goose,Branta canadensis,2017-05-13,18:00:00,20,45,US-MO,38.6389068,-90.2853806,114,5,2017
105,S36956314,Canada Goose,Branta canadensis,2017-05-18,07:04:00,4,126,US-MO,38.6389068,-90.2853806,140,5,2017
106,S37374545,Canada Goose,Branta canadensis,2017-06-04,07:53:00,16,118,US-MO,38.6389068,-90.2853806,108,6,2017
107,S38541052,Canada Goose,Branta canadensis,2017-08-08,07:05:00,11,85,US-MO,38.6389068,-90.2853806,281,8,2017
108,S42135357,Canada Goose,Branta canadensis,2018-01-21,13:37:00,145,127,US-MO,38.6389068,-90.2853806,275,1,2018
109,S44103398,Canada Goose,Branta canadensis,2018-03-30,19:12:00,11,32,US-MO,38.6389068,-90.2853806,104,3,2018
110,S45158368,Canada Goose,Branta canadensis,2018-05-01,18:23:00,2,86,US-MO,38.6389068,-90.2853806,67,5,2018
111,S45233334,Canada Goose,Branta canadensis,2018-05-03,13:54:00,1,55,US-MO,38.6389068,-90.2853806,55,5,2018
112,S89689436,Canada Goose,Branta canadensis,2021-06-05,17:55:00,1,85,US-MO,38.6383932,-90.267979,56,6,2021
113,S89715685,Canada Goose,Branta canadensis,2021-06-06,08:01:00,10,74,US-MO,38.6389068,-90.2853806,57,6,2021
114,S13421647,Canada Goose,Branta canadensis,2013-03-16,14:00:00,2,0,US-MO,38.6129807,-90.2593803,106,3,2013
115,S17575595,Canada Goose,Branta canadensis,2014-03-23,15:30:00,2,90,US-MO,38.6129807,-90.2593803,123,3,2014
116,S18317547,Canada Goose,Branta canadensis,2014-05-10,07:30:00,3,240,US-MO,38.6129807,-90.2593803,130,5,2014
117,S22239405,Canada Goose,Branta canadensis,2015-03-08,11:45:00,4,120,US-MO,38.6129807,-90.2593803,75,3,2015
118,S22828782,Canada Goose,Branta canadensis,2015-04-12,11:00:00,4,150,US-MO,38.6129807,-90.2593803,112,4,2015
119,S23326412,Canada Goose,Branta canadensis,2015-05-09,07:00:00,3,180,US-MO,38.6129807,-90.2593803,134,5,2015
120,S28837436,Canada Goose,Branta canadensis,2016-04-09,09:15:00,2,120,US-MO,38.6129807,-90.2593803,60,4,2016
121,S37507879,Canada Goose,Branta canadensis,2017-06-10,08:50:00,3,90,US-MO,38.6129807,-90.2593803,56,6,2017
122,S41266689,Canada Goose,Branta canadensis,2017-12-23,08:41:00,2,80,US-MO,38.6129807,-90.2593803,58,12,2017
123,S43760440,Canada Goose,Branta canadensis,2018-03-18,15:54:00,2,71,US-MO,38.6129807,-90.2593803,74,3,2018
124,S44377158,Canada Goose,Branta canadensis,2018-04-08,16:11:00,2,62,US-MO,38.6129807,-90.2593803,53,4,2018
125,S45362421,Canada Goose,Branta canadensis,2018-05-06,09:35:00,2,134,US-MO,38.6129807,-90.2593803,86,5,2018
126,S18250965,Canada Goose,Branta canadensis,2014-05-04,08:45:00,4,120,US-MO,38.7472557,-90.1926899,143,5,2014
127,S38628943,Canada Goose,Branta canadensis,2017-08-13,15:48:00,13,55,US-MO,38.5605873,-90.2872912,164,8,2017
128,S17873207,Canada Goose,Branta canadensis,2014-04-13,10:45:00,2,150,US-MO,38.6066358,-90.2582139,198,4,2014
129,S36184977,Canada Goose,Branta canadensis,2017-04-22,18:16:00,4,88,US-MO,38.6066358,-90.2582139,64,4,2017
130,S36840529,Canada Goose,Branta canadensis,2017-05-13,19:00:00,3,90,US-MO,38.6066358,-90.2582139,56,5,2017
131,S18038813,Canada Goose,Branta canadensis,2014-04-20,07:30:00,1,180,US-MO,37.0223596,-90.0990486,103,4,2014
132,S65338838,Canada Goose,Branta canadensis,2020-03-01,16:23:00,2,38,US-OK,36.152075,-95.9778614,49,3,2020
133,S65902721,Canada Goose,Branta canadensis,2020-03-17,11:41:00,2,55,US-OK,36.1043584,-95.982836699999993,86,3,2020
134,S107970844,Canada Goose,Branta canadensis,2022-04-24,17:14:00,2,77,US-OK,36.1255459,-95.9823976,105,4,2022
135,S109319353,Canada Goose,Branta canadensis,2022-05-08,09:23:00,15,17,US-OK,36.2349276,-95.9115887,56,5,2022
136,S88192658,Canada Goose,Branta canadensis,2021-05-15,12:31:00,15,46,US-OK,36.2222811,-95.9239566,37,5,2021
137,S64885073,Canada Goose,Branta canadensis,2020-02-20,15:59:00,12,93,US-OK,36.116064,-95.98525,200,2,2020
138,S99973704,Canada Goose,Branta canadensis,2022-01-02,16:08:00,32,25,US-OK,36.215678,-95.933325,582,1,2022
139,S68330982,Canada Goose,Branta canadensis,2020-05-03,10:37:00,2,154,US-OK,36.2213571,-95.9341192,140,5,2020
140,S54964350,Canada Goose,Branta canadensis,2019-04-14,17:06:00,6,99,US-OK,36.2235555,-95.9005058,62,4,2019
141,S51186467,Canada Goose,Branta canadensis,2019-01-01,15:57:00,5,75,US-OK,36.1189623,-95.9855793,79,1,2019
142,S65697899,Canada Goose,Branta canadensis,2020-03-11,18:58:00,36,47,US-OK,36.1166302,-95.9907184,281,3,2020
143,S66376442,Canada Goose,Branta canadensis,2020-03-29,13:51:00,2,30,US-OK,36.1431728,-96.2771857,59,3,2020
144,S64885104,Canada Goose,Branta canadensis,2020-02-22,09:33:00,2,45,US-OK,35.872406,-95.401213,153,2,2020
145,S64885094,Canada Goose,Branta canadensis,2020-02-22,11:10:00,10,8,US-OK,35.9384235,-95.2776295,707,2,2020
146,S64885085,Canada Goose,Branta canadensis,2020-02-22,11:32:00,9,113,US-OK,35.9322711,-95.2811987,331,2,2020
147,S82037948,Canada Goose,Branta canadensis,2021-02-20,17:15:00,200,4,US-OK,35.9664503,-95.4937384,696,2,2021
306,S21177034,Mallard,Anas platyrhynchos,2015-01-03,14:00:00,4,90,US-IL,39.924334,-91.4148653,11,1,2015
307,S22598375,Mallard,Anas platyrhynchos,2015-03-30,16:30:00,4,30,US-VT,43.7829965,-73.3154315,81,3,2015
308,S22635608,Mallard,Anas platyrhynchos,2015-04-01,16:30:00,6,20,US-VT,43.7829965,-73.3154315,16,4,2015
309,S100219404,Mallard,Anas platyrhynchos,2022-01-06,07:51:00,3,42,US-AZ,33.42175,-112.0733,34,1,2022
310,S1612893,Mallard,Anas platyrhynchos,2004-02-22,13:00:00,42,60,US-CA,38.298008,-119.226204,224,2,2004
311,S79023070,Mallard,Anas platyrhynchos,2021-01-04,13:24:00,3,273,US-OK,36.8630914,-96.5667034,69,1,2021
312,S54632771,Mallard,Anas platyrhynchos,2019-04-06,11:20:00,1,122,US-OK,36.2081998,-96.0600758,40,4,2019
313,S77745729,Mallard,Anas platyrhynchos,2020-12-20,11:59:00,8,72,US-OK,36.2081998,-96.0600758,57,12,2020
314,S80524373,Mallard,Anas platyrhynchos,2021-02-06,10:33:00,7,93,US-OK,36.2081998,-96.0600758,58,2,2021
315,S103266888,Mallard,Anas platyrhynchos,2022-02-20,14:05:00,6,65,US-OK,36.2081998,-96.0600758,29,2,2022
316,S56366335,Mallard,Anas platyrhynchos,2019-05-16,15:09:00,1,80,US-MO,38.70534,-90.74048,46,5,2019
317,S20964481,Mallard,Anas platyrhynchos,2014-12-20,09:30:00,25,150,US-MO,38.8719313,-90.1843917,469,12,2014
318,S40744474,Mallard,Anas platyrhynchos,2017-11-26,08:49:00,42,24,US-MO,38.8719313,-90.1843917,223,11,2017
319,S41155853,Mallard,Anas platyrhynchos,2017-12-17,12:40:00,6,106,US-MO,38.6228053,-90.344224,108,12,2017
320,S21519811,Mallard,Anas platyrhynchos,2015-01-24,12:30:00,8,60,US-MO,38.5240964,-90.2668691,37,1,2015
321,S17855769,Mallard,Anas platyrhynchos,2014-04-12,08:45:00,1,120,US-MO,38.690995,-90.2349186,200,4,2014
322,S16771971,Mallard,Anas platyrhynchos,2014-02-02,16:00:00,12,30,US-MO,38.5615895,-90.2653885,193,2,2014
323,S17365487,Mallard,Anas platyrhynchos,2014-03-08,09:10:00,30,20,US-MO,38.614255,-90.2916527,84,3,2014
324,S16536879,Mallard,Anas platyrhynchos,2014-01-27,14:30:00,103,45,US-MO,38.6389068,-90.2853806,275,1,2014
325,S17223714,Mallard,Anas platyrhynchos,2014-02-27,08:40:00,43,45,US-MO,38.6389068,-90.2853806,237,2,2014
326,S17294044,Mallard,Anas platyrhynchos,2014-03-04,08:15:00,6,45,US-MO,38.6389068,-90.2853806,92,3,2014
327,S17324171,Mallard,Anas platyrhynchos,2014-03-05,08:20:00,49,50,US-MO,38.6389068,-90.2853806,167,3,2014
328,S17334391,Mallard,Anas platyrhynchos,2014-03-06,08:20:00,47,55,US-MO,38.6389068,-90.2853806,214,3,2014
329,S17345055,Mallard,Anas platyrhynchos,2014-03-07,08:20:00,36,55,US-MO,38.6389068,-90.2853806,276,3,2014
330,S17377851,Mallard,Anas platyrhynchos,2014-03-09,15:45:00,25,80,US-MO,38.6389068,-90.2853806,118,3,2014
331,S17410868,Mallard,Anas platyrhynchos,2014-03-12,08:20:00,8,45,US-MO,38.6389068,-90.2853806,257,3,2014
332,S17437862,Mallard,Anas platyrhynchos,2014-03-14,08:00:00,19,60,US-MO,38.6389068,-90.2853806,181,3,2014
333,S17543272,Mallard,Anas platyrhynchos,2014-03-20,09:20:00,2,80,US-MO,38.6389068,-90.2853806,102,3,2014
334,S17697161,Mallard,Anas platyrhynchos,2014-04-01,13:00:00,4,0,US-MO,38.6389068,-90.2853806,7,4,2014
335,S17701725,Mallard,Anas platyrhynchos,2014-04-01,18:30:00,6,25,US-MO,38.6389068,-90.2853806,35,4,2014
336,S17716042,Mallard,Anas platyrhynchos,2014-04-02,16:00:00,7,40,US-MO,38.6389068,-90.2853806,134,4,2014
337,S17760108,Mallard,Anas platyrhynchos,2014-04-05,18:00:00,9,30,US-MO,38.6389068,-90.2853806,145,4,2014
338,S17798169,Mallard,Anas platyrhynchos,2014-04-07,18:00:00,4,45,US-MO,38.6389068,-90.2853806,96,4,2014
339,S17841108,Mallard,Anas platyrhynchos,2014-04-11,09:30:00,3,60,US-MO,38.6389068,-90.2853806,103,4,2014
340,S17891506,Mallard,Anas platyrhynchos,2014-04-14,09:00:00,4,90,US-MO,38.6389068,-90.2853806,203,4,2014
341,S17931688,Mallard,Anas platyrhynchos,2014-04-17,08:00:00,8,120,US-MO,38.6389068,-90.2853806,307,4,2014
342,S17944532,Mallard,Anas platyrhynchos,2014-04-18,08:45:00,6,10,US-MO,38.6389068,-90.2853806,45,4,2014
343,S18038666,Mallard,Anas platyrhynchos,2014-04-22,18:30:00,1,75,US-MO,38.6389068,-90.2853806,76,4,2014
344,S18044118,Mallard,Anas platyrhynchos,2014-04-23,12:00:00,2,45,US-MO,38.6389068,-90.2853806,62,4,2014
345,S18164541,Mallard,Anas platyrhynchos,2014-05-01,08:30:00,2,60,US-MO,38.6389068,-90.2853806,91,5,2014
346,S18178852,Mallard,Anas platyrhynchos,2014-05-02,08:15:00,4,60,US-MO,38.6389068,-90.2853806,115,5,2014
347,S18284435,Mallard,Anas platyrhynchos,2014-05-08,08:20:00,3,90,US-MO,38.6389068,-90.2853806,130,5,2014
348,S18310479,Mallard,Anas platyrhynchos,2014-05-09,18:00:00,6,60,US-MO,38.6389068,-90.2853806,87,5,2014
349,S18346956,Mallard,Anas platyrhynchos,2014-05-11,18:30:00,4,60,US-MO,38.6389068,-90.2853806,121,5,2014
350,S18767759,Mallard,Anas platyrhynchos,2014-06-12,08:30:00,8,60,US-MO,38.6389068,-90.2853806,77,6,2014
351,S19781842,Mallard,Anas platyrhynchos,2014-09-09,08:30:00,25,45,US-MO,38.6389068,-90.2853806,74,9,2014
352,S19854966,Mallard,Anas platyrhynchos,2014-09-16,18:30:00,18,45,US-MO,38.6389068,-90.2853806,58,9,2014
353,S20016034,Mallard,Anas platyrhynchos,2014-10-03,08:45:00,25,45,US-MO,38.6389068,-90.2853806,189,10,2014
354,S20047706,Mallard,Anas platyrhynchos,2014-10-06,08:45:00,12,60,US-MO,38.6389068,-90.2853806,105,10,2014
355,S20070906,Mallard,Anas platyrhynchos,2014-10-08,07:45:00,18,45,US-MO,38.6389068,-90.2853806,120,10,2014
356,S20416528,Mallard,Anas platyrhynchos,2014-11-02,11:00:00,12,30,US-MO,38.6389068,-90.2853806,32,11,2014
357,S20808342,Mallard,Anas platyrhynchos,2014-12-06,10:00:00,25,60,US-MO,38.6389068,-90.2853806,34,12,2014
358,S20893308,Mallard,Anas platyrhynchos,2014-12-13,10:30:00,30,120,US-MO,38.6389068,-90.2853806,144,12,2014
359,S20974801,Mallard,Anas platyrhynchos,2014-12-21,09:15:00,35,165,US-MO,38.6389068,-90.2853806,157,12,2014
360,S20987277,Mallard,Anas platyrhynchos,2014-12-22,09:30:00,40,60,US-MO,38.6389068,-90.2853806,177,12,2014
361,S20997656,Mallard,Anas platyrhynchos,2014-12-23,08:30:00,35,30,US-MO,38.6389068,-90.2853806,74,12,2014
362,S21095947,Mallard,Anas platyrhynchos,2014-12-31,08:00:00,65,120,US-MO,38.6389068,-90.2853806,322,12,2014
363,S21145290,Mallard,Anas platyrhynchos,2015-01-02,09:00:00,25,5,US-MO,38.6389068,-90.2853806,119,1,2015
364,S21322331,Mallard,Anas platyrhynchos,2015-01-12,09:20:00,45,30,US-MO,38.6389068,-90.2853806,195,1,2015
365,S21350144,Mallard,Anas platyrhynchos,2015-01-14,02:30:00,55,60,US-MO,38.6389068,-90.2853806,152,1,2015
366,S21378003,Mallard,Anas platyrhynchos,2015-01-16,16:45:00,22,15,US-MO,38.6389068,-90.2853806,59,1,2015
367,S21419958,Mallard,Anas platyrhynchos,2015-01-19,08:30:00,12,0,US-MO,38.6389068,-90.2853806,25,1,2015
368,S21499852,Mallard,Anas platyrhynchos,2015-01-22,10:30:00,12,30,US-MO,38.6389068,-90.2853806,85,1,2015
369,S22257298,Mallard,Anas platyrhynchos,2015-03-09,13:00:00,18,20,US-MO,38.6389068,-90.2853806,51,3,2015
370,S22360906,Mallard,Anas platyrhynchos,2015-03-15,09:00:00,16,120,US-MO,38.6389068,-90.2853806,157,3,2015
371,S22387893,Mallard,Anas platyrhynchos,2015-03-16,18:00:00,2,30,US-MO,38.6389068,-90.2853806,35,3,2015
372,S22729778,Mallard,Anas platyrhynchos,2015-04-06,18:30:00,4,45,US-MO,38.6389068,-90.2853806,44,4,2015
373,S22776681,Mallard,Anas platyrhynchos,2015-04-09,18:20:00,2,25,US-MO,38.6389068,-90.2853806,42,4,2015
374,S23140528,Mallard,Anas platyrhynchos,2015-04-30,07:00:00,8,105,US-MO,38.6389068,-90.2853806,150,4,2015
375,S23261547,Mallard,Anas platyrhynchos,2015-05-05,19:00:00,6,45,US-MO,38.6389068,-90.2853806,54,5,2015
376,S23471799,Mallard,Anas platyrhynchos,2015-05-13,08:00:00,6,120,US-MO,38.6389068,-90.2853806,81,5,2015
377,S23465605,Mallard,Anas platyrhynchos,2015-05-15,18:30:00,6,30,US-MO,38.6389068,-90.2853806,104,5,2015
378,S25963234,Mallard,Anas platyrhynchos,2015-11-22,08:30:00,8,45,US-MO,38.6389068,-90.2853806,78,11,2015
379,S29265867,Mallard,Anas platyrhynchos,2016-04-27,08:00:00,2,45,US-MO,38.6389068,-90.2853806,87,4,2016
380,S29505290,Mallard,Anas platyrhynchos,2016-05-08,13:30:00,4,90,US-MO,38.6383932,-90.267979,43,5,2016
381,S31926545,Mallard,Anas platyrhynchos,2016-10-06,12:00:00,2,60,US-MO,38.6389068,-90.2853806,82,10,2016
382,S32025863,Mallard,Anas platyrhynchos,2016-10-13,13:15:00,4,60,US-MO,38.6389068,-90.2853806,32,10,2016
383,S33616660,Mallard,Anas platyrhynchos,2017-01-12,07:00:00,12,90,US-MO,38.6389068,-90.2853806,272,1,2017
384,S33780633,Mallard,Anas platyrhynchos,2017-01-19,07:01:00,8,56,US-MO,38.6389068,-90.2853806,240,1,2017
385,S33809874,Mallard,Anas platyrhynchos,2017-01-20,16:26:00,12,59,US-MO,38.6389068,-90.2853806,188,1,2017
386,S35533959,Mallard,Anas platyrhynchos,2017-03-30,07:05:00,15,100,US-MO,38.6389068,-90.2853806,283,3,2017
387,S35698031,Mallard,Anas platyrhynchos,2017-04-04,07:00:00,10,127,US-MO,38.6389068,-90.2853806,369,4,2017
388,S35861224,Mallard,Anas platyrhynchos,2017-04-10,18:06:00,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
389,S35918417,Mallard,Anas platyrhynchos,2017-04-13,06:59:00,5,109,US-MO,38.6389068,-90.2853806,247,4,2017
390,S35959752,Mallard,Anas platyrhynchos,2017-04-14,17:47:00,1,88,US-MO,38.6389068,-90.2853806,53,4,2017
391,S36118134,Mallard,Anas platyrhynchos,2017-04-20,07:00:00,5,98,US-MO,38.6389068,-90.2853806,237,4,2017
392,S36198905,Mallard,Anas platyrhynchos,2017-04-23,08:13:00,4,173,US-MO,38.6389068,-90.2853806,137,4,2017
393,S36305628,Mallard,Anas platyrhynchos,2017-04-27,06:56:00,4,121,US-MO,38.6389068,-90.2853806,260,4,2017
394,S36497526,Mallard,Anas platyrhynchos,2017-05-02,18:56:00,1,58,US-MO,38.6389068,-90.2853806,40,5,2017
395,S36840525,Mallard,Anas platyrhynchos,2017-05-13,18:00:00,3,45,US-MO,38.6389068,-90.2853806,114,5,2017
396,S36956314,Mallard,Anas platyrhynchos,2017-05-18,07:04:00,10,126,US-MO,38.6389068,-90.2853806,140,5,2017
